imgs,k2,k3,k4,k5,k6,k7,k8,caption,palette
169800597_5711760235564455_8011143285903557226_n.jpg,1,3,3,3,3,3,3,@optimisticadolescenceshop crew neck,"[[0.9954942464828491, 0.9951379299163818, 0.9941486120223999], [0.06517642736434937, 0.06584244966506958, 0.05220627784729004], [0.6179895997047424, 0.6116684675216675, 0.5923281908035278], [0.9122666120529175, 0.892351508140564, 0.8590521216392517], [0.3153340816497803, 0.3134768009185791, 0.2942105531692505]]"
169558552_861433774587179_1794162263777829691_n.jpg,1,3,3,3,3,3,3,@demonitesbrand hoodie,"[[0.9956420660018921, 0.9956534504890442, 0.9953476786613464], [0.8908624649047852, 0.8846298456192017, 0.8443775773048401], [0.16919845342636108, 0.16923850774765015, 0.15723997354507446], [0.6100916266441345, 0.6031588912010193, 0.5720309019088745], [0.8269177675247192, 0.8131552338600159, 0.7840400338172913]]"
169660800_360013535344866_1700073249721538613_n.jpg,2,2,2,2,2,4,4,@stephenxbauer,"[[0.16278937458992004, 0.1286258101463318, 0.13121303915977478], [0.9943860173225403, 0.994391918182373, 0.9947447776794434], [0.7282980680465698, 0.036137938499450684, 0.15204018354415894], [0.039355337619781494, 0.03729623556137085, 0.03839689493179321], [0.4536346197128296, 0.16104751825332642, 0.20065927505493164]]"
170480601_130476839045059_2678112403114166112_n.jpg,2,2,2,2,2,2,2,@rirakuzeshon,"[[0.9990015029907227, 0.9990044832229614, 0.9987773299217224], [0.0347406268119812, 0.01928049325942993, 0.013135969638824463], [0.6251281499862671, 0.6147549152374268, 0.6139659285545349], [0.09058278799057007, 0.07361090183258057, 0.05759185552597046], [0.4384559392929077, 0.22958678007125854, 0.20933076739311218]]"
169558550_121502406663763_7021711781983965779_n.jpg,2,2,2,2,2,2,2,@nitenshii,"[[0.9954870939254761, 0.9951014518737793, 0.9949766397476196], [0.07647085189819336, 0.07355773448944092, 0.0846872329711914], [0.754174530506134, 0.7614543437957764, 0.6326271295547485], [0.6631066799163818, 0.30311042070388794, 0.41286346316337585], [0.9124559760093689, 0.899493932723999, 0.8744634389877319]]"
168925510_1111855065946901_3891100665693432333_n.jpg,1,3,3,3,3,3,3,@iloveyellow.clothing,"[[0.8923513889312744, 0.8900728225708008, 0.8855858445167542], [0.5631691813468933, 0.561781644821167, 0.5644305944442749], [0.9973618984222412, 0.9973626136779785, 0.9975247979164124], [0.7918672561645508, 0.784930408000946, 0.7621706128120422], [0.270372211933136, 0.27023667097091675, 0.28041380643844604]]"
170072566_321487362654814_3471647044856126324_n.jpg,1,3,3,3,3,3,3,@ulika.unknwn,"[[0.9876993894577026, 0.9927706718444824, 0.9945714473724365], [0.10745352506637573, 0.11436837911605835, 0.16763722896575928], [0.5573695302009583, 0.5875404477119446, 0.6555086970329285], [0.7875916361808777, 0.8314882516860962, 0.8871039748191833], [0.322274386882782, 0.3419053554534912, 0.41290658712387085]]"
168599252_268914318105552_1347580721859617044_n.jpg,1,3,3,3,3,3,3,@tornxvision,"[[0.9984556436538696, 0.9984678030014038, 0.998772144317627], [0.14045929908752441, 0.13423150777816772, 0.15875029563903809], [0.6285544037818909, 0.6305932402610779, 0.669866681098938], [0.07139205932617188, 0.06827932596206665, 0.08462947607040405], [0.34041649103164673, 0.3832702338695526, 0.45097845792770386]]"
168964853_2542477379392221_8613692496674988752_n.jpg,1,1,1,1,1,1,1,@unbornsociety Reversible Knit,"[[0.05859631299972534, 0.05552273988723755, 0.05364614725112915], [0.999468207359314, 0.9992124438285828, 0.9990359544754028], [0.7926398515701294, 0.7726914286613464, 0.6807788014411926], [0.5573846697807312, 0.5463961362838745, 0.4846266806125641], [0.31091779470443726, 0.3012881278991699, 0.2498263120651245]]"
168559538_563450281239858_1599806841793982264_n.jpg,1,3,4,5,5,6,7,Hyoma 20471120 loose knit via @con.tumacy,"[[0.9914335012435913, 0.9905871152877808, 0.9925472140312195], [0.23656773567199707, 0.20360571146011353, 0.340570330619812], [0.38169562816619873, 0.2955353260040283, 0.5738238096237183], [0.08314087986946106, 0.08349654078483582, 0.12470826506614685], [0.6057757139205933, 0.5159528851509094, 0.7816312909126282]]"
